"","Frau","","Mrs.","1A"
"","Fräulein","","Miss","1A"
"","guten Morgen!","","good morning!","1A"
"","Herr","","Mr.","1A"
"der","Deutschlehrer","-","German teacher (m)","1B"
"die","Deutschlehrerin","-nen","German teacher (f)","1B"
"","heissen","","to be called","1B"
"der","Junge","-n","boy","1B"
"der","Lehrer","-","teacher (m)","1B"
"die","Lehrerin","-nen","teacher (f)","1B"
"das","Mädchen","-","girl","1B"
"","und","","and","1B"
"","wer?","","who?","1B"
"","alt","","old","1C"
"","auch","","also","1C"
"","sein","","to be","1C"
"","wie?","","how?","1C"
"die","Zahl","-en","number","1C"
"","Deutschland","","Germany","1D"
"","ja","","yes","1D"
"der","Mathematiklehrer","-","math teacher","1D"
"","München","","Munich","1D"
"","nein","","no","1D"
"","oder","","or","1D"
"","Österreich","","Austria","1D"
"","Schweiz","","Switzerland","1D"
"","wie bitte?","","I beg your pardon","1D"
"","Wien","","Vienna","1D"
"","woher?","","from where?","1D"
"","kommen","","to come","2A"
"","mit dem Auto","","by car","2A"
"","mit dem Bus","","by bus","2A"
"","mit dem Moped","","by moped","2A"
"","mit dem Rad","","by bicycle","2A"
"","mit der Strassenbahn","","by streetcar","2A"
"","schau!","","look!","2A"
"die","Schule","-n","school","2A"
"","zu Fuss","","on foot","2A"
"","bitte","","please","2B"
"der","Bleistift","-e","pencil","2B"
"","danke","","thank you","2B"
"","Entschuldigung!","","excuse me!","2B"
"das","Heft","-e","notebook","2B"
"","hier","","here","2B"
"die","Kassette","-n","cassette","2B"
"der","Kuli","-s","pen","2B"
"die","Mark","-","mark","2B"
"","nicht","","not","2B"
"","nur","","only","2B"
"das","Poster","-","poster","2B"
"","Schulsachen","","school supplies","2B"
"die","Schultasche","-n","schoolbag","2B"
"der","Stundenplan","±e","class schedule","2B"
"der","Taschenrechner","-","pocket calculator","2B"
"","Unsinn!","","nonsense!","2B"
"die","Verkäuferin","-nen","salesperson","2B"
"","was?","","what?","2B"
"","kosten","","to cost","2B"
"","weg","","gone","2B"
"","wo?","","where?","2B"
"das","Wörterbuch","±er","dictionary","2B"
"","am Freitag","","on Friday","2C"
"","Biologie","","biology","2C"
"","dann","","then","2C"
"","Deutsch","","German","2C"
"der","Dienstag","","Tuesday","2C"
"der","Donnerstag","","Thursday","2C"
"","Englisch","","English","2C"
"das","Fach","±er","subject","2C"
"","frei","","off","2C"
"der","Freitag","","Friday","2C"
"","Geographie","","geography","2C"
"","Geschichte","","history","2C"
"","haben","","to have","2C"
"","heute","","today","2C"
"","in","","in","2C"
"","jetzt","","now","2C"
"die","Klasse","-n","class","2C"
"die","Klassenarbeit","-en","test","2C"
"der","Klassenkamerad","-en","classmate","2C"
"","Kunst","","art","2C"
"","Latein","","Latin","2C"
"","Mathe","","math","2C"
"der","Mittwoch","","Wednesday","2C"
"der","Montag","","Monday","2C"
"","Musik","","music","2C"
"","na","","well","2C"
"der","Name","-n","name","2C"
"die","Oberschule","-n","high school","2C"
"die","Parallelklasse","-n","class of the same grade","2C"
"die","Pause","-n","break","2C"
"","Physic","","physics","2C"
"","Religion","","religion","2C"
"der","Sonnabend","","Saturday","2C"
"","sonnabends","","on Saturdays","2C"
"","viel Glück!","","good luck!","2C"
"","wann?","","when?","2C"
"","welche?","","which?","2C"
"die","Zeit","","time","2C"
"","aber","","but","2D"
"","Algebra","","algebra","2D"
"","blöd","","stupid","2D"
"","gut","","good","2D"
"die","Hausaufgaben","","homework","2D"
"","leicht","","easy","2D"
"die","Note","-n","grade","2D"
"","phantastisch","","fantastic","2D"
"","schade!","","too bad!","2D"
"","schlecht","","bad","2D"
"","schwer","","difficult","2D"
"","so","","so","2D"
"","ich auch","","me too","3A"
"","Basketball","","basketball","3A"
"","besuchen","","to visit","3A"
"die","Briefmarke","-n","stamp","3A"
"die","Freizeit","","free time","3A"
"der","Freund","-e","friend","3A"
"","Fussball","","soccer","3A"
"","gewinnen","","to win","3A"
"die","Gitarre","-n","guitar","3A"
"","haha!","","ha ha!","3A"
"das","Hobby","-s","hobby","3A"
"","Hockey","","hockey","3A"
"","hören","","to listen to","3A"
"das","Instrument","-e","instrument","3A"
"der","Interviewer","-","interviewer","3A"
"die","Karten","","cards","3A"
"","machen","","to do","3A"
"","mogeln","","to cheat","3A"
"die","Münze","-n","coin","3A"
"die","Musikkassette","-n","music cassette","3A"
"","na klar!","","of course!","3A"
"","sammeln","","to collect","3A"
"","sauer","","sore","3A"
"","Schach","","chess","3A"
"der","Schüler","-","student","3A"
"","schwimmen","","to swim","3A"
"","segeln","","to sail","3A"
"das","Spiel","-e","game","3A"
"","spielen","","to play","3A"
"der","Sport","","sport","3A"
"","Tennis","","tennis","3A"
"","verlieren","","to lose","3A"
"","was!?","","what!?","3A"
"","wie immer","","as always","3A"
"","wirklich?","","really?","3A"
"","am Sonntag","","on Sunday","3B"
"","am Tag","","a day","3B"
"","am Wochenende","","on the weekend","3B"
"","dreimal","","three times","3B"
"","einmal","","once","3B"
"","Eishockey","","ice hockey","3B"
"","im Frühjahr","","in spring","3B"
"","im Herbst","","in autumn","3B"
"","im Jahr","","a year","3B"
"","im Monat","","a month","3B"
"","im Sommer","","in summer","3B"
"","im Winter","","in winter","3B"
"","immer","","always","3B"
"","in der Woche","","a week","3B"
"","manchmal","","sometimes","3B"
"","meistens","","mostly","3B"
"","nie","","never","3B"
"","oft","","often","3B"
"","Samstag","","Saturday","3B"
"das","Schilaufen","","skiing","3B"
"","selten","","seldom","3B"
"","Sonntag","","Sunday","3B"
"","viermal","","four times","3B"
"","wie oft?","","how often?","3B"
"","zweimal","","twice","3B"
"","Comics","","comics","3C"
"das","Fantasy-Buch","±er","fantasy book","3C"
"","faulenzen","","to lie around","3C"
"","finden","","to find","3C"
"","Gymnastik","","gymnastics","3C"
"","interessant","","interesting","3C"
"","Kartenspielen","","playing cards","3C"
"","langweilig","","boring","3C"
"","lesen","","to read","3C"
"der","Roman","-e","novel","3C"
"","Sammeln","","collecting","3C"
"","Segeln","","sailing","3C"
"","Spass","","fun","3C"
"das","Sportbuch","±er","book about sports","3C"
"","stimmt!","","true!","3C"
"","stimmt nicht!","","not true!","3C"
"","super!","","super!","3C"
"das","Adressbuch","±er","address book","5A"
"","alles","","everything","5A"
"der","Amerikaner","-","American","5A"
"","besetzt","","occupied","5A"
"","bleiben","","to stay","5A"
"","brauchen","","to need","5A"
"der","Deutsche","-n","German","5A"
"die","Familie","-n","family","5A"
"die","Ferien","","vacation","5A"
"der","Film","-e","film","5A"
"","fliegen","","to fly","5A"
"das","Flugticket","-s","plane ticket","5A"
"","fragen","","to ask","5A"
"","für","","for","5A"
"das","Geld","","money","5A"
"","Kalifornien","","California","5A"
"die","Kamera","-s","camera","5A"
"","Köln","","Cologne","5A"
"die","Maschine","-n","plane","5A"
"","morgen","","tomorrow","5A"
"die","Mutter","±","mother","5A"
"","noch","","still","5A"
"","ob","","if","5A"
"der","Pass","±","passport","5A"
"","planen","","to plan","5A"
"die","Reise","-n","trip","5A"
"der","Reiseführer","-","travel guide","5A"
"der","Reisescheck","-s","traveler's check","5A"
"","schauen","","to look","5A"
"die","Spielkarten","","cards","5A"
"","suchen","","to look for","5A"
"der","Vater","±","father","5A"
"der","Vati","-s","dad","5A"
"der","Verwandte","-n","relative","5A"
"","voll","","full","5A"
"","von","","from","5A"
"der","Walkman","","Walkman","5A"
"","weiter","","further","5A"
"","wen?","","whom?","5A"
"","wie lange?","","how long?","5A"
"die","Woche","-n","week","5A"
"","wohin?","","to where?","5A"
"","wohnen","","to live","5A"
"","zurück","","back","5A"
"der","Ausgang","±e","exit","5B"
"die","Auskunft","","information","5B"
"","mit der Bahn","","by train","5B"
"die","Bank","","bank","5B"
"der","Beamte","-n","official","5B"
"","bei Grün","","by the green symbol","5B"
"","durch","","through","5B"
"","essen","","to eat","5B"
"","etwas","","something","5B"
"","fehlen","","to be missing","5B"
"das","Flugzeug","-e","airplane","5B"
"","gehen","","to go","5B"
"das","Gepäck","","baggage","5B"
"","geradeaus","","straight ahead","5B"
"das","Geschenk","-e","present","5B"
"der","Geschenkladen","±","gift shop","5B"
"","Gott sei Dank!","","thank God!","5B"
"","holen","","to get","5B"
"","kaufen","","to buy","5B"
"der","Kilometer","-","kilometre","5B"
"","landen","","to land","5B"
"","links","","left","5B"
"die","Meile","-n","mile","5B"
"","möchten","","would like to","5B"
"","nichts","","nothing","5B"
"die","Passkontrolle","","passport check","5B"
"die","Post","","post office","5B"
"","rechts","","right","5B"
"der","Reisende","-n","traveler","5B"
"die","Reisetasche","-n","travel bag","5B"
"das","Restaurant","-s","restaurant","5B"
"","sagen","","to say","5B"
"das","Schleissfach","±er","locker","5B"
"das","Telefon","-e","telephone","5B"
"","telefonieren","","to telephone","5B"
"die","Toilette","-n","toilet","5B"
"","trinken","","to drink","5B"
"","ungefähr","","approximately","5B"
"","Verzeihung!","","excuse me!","5B"
"","verzollen","","to declare","5B"
"die","Wartehalle","-n","waiting room","5B"
"","wechseln","","to exchange","5B"
"","weit","","far","5B"
"der","Zoll","","customs","5B"
"","zu","","to","5B"
"","alle","","all","5C"
"der","Apparat","-e","phone","5C"
"der","Bankangestellte","-n","bank teller","5C"
"","besetzt","","busy","5C"
"der","Dollar","-","dollar","5C"
"","endlich","","finally","5C"
"der","Flug","±e","flight","5C"
"der","Flughafen","±","airport","5C"
"","abheben","","to lift","5C"
"","hier Nedel","","Nedel speaking","5C"
"der","Hörer","-","telephone receiver","5C"
"der","Kurs","","rate of exchange","5C"
"","noch einmal","","once more","5C"
"der","Pfennig","","penny","5C"
"","pünktlich","","punctual","5C"
"der","Schein","-e","bill","5C"
"","stecken","","to stick","5C"
"das","Telefonieren","","telephoning","5C"
"die","Telefonzelle","-n","phone booth","5C"
"","wie verabredet","","as planned","5C"
"","wählen","","to dial","5C"
"","wieviel?","","how much?","5C"
"","wirklich","","really","5C"
"","armer Peter!","","poor Peter!","6A"
"der","Bruder","±","brother","6A"
